No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
1,shell.c,0,8,26,579,8,26,579,
2,bignum.cpp,0,2,4,92,7,11,254,
3,bignum.cpp,0,3,4,73,6,10,436,
5,shell.c,0,7,15,247,11,35,680,
9,prog.cc:872,0,4,9,257,7,18,597,
10,printf.c:896,0,3,34,192,3,34,196,
11,prog.cc:877,0,4,9,257,7,18,597,
12,fse_compress.cpp:127,0,6,12,588,17,36,1333,
13,fse_compress.cpp:251,0,3,10,526,10,26,1130,
14,fse_compress.cpp:251,0,6,13,690,6,13,749,
15,printf.c,0,3,14,89,3,14,107,
16,printf.c,0,4,17,121,4,17,139,
17,printf.c,0,4,27,173,4,27,191,
19,printf.c,0,5,6,77,6,10,125,
90,sqlite3_api_wrapper.cpp,1,1,1,6,1,1,12,
92,src_backend_parser_scan.cpp,0,4,9,617,5,14,773,
94,shell.c,0,2,2,75,17,40,876,
98,sqlite3_api_wrapper.cpp,1,1,1,6,1,1,12,
108,tsd_generic.h,1,1,1,23,21,32,1537,
117,pkparse.cpp,1,2,5,141,9,17,429,
118,parse.cc,0,7,19,409,11,41,591,
119,parse.cc,0,1,8,165,4,22,313,
120,test_sqlite3_api_wrapper.cpp,0,61,210,18607,74,272,26152,
121,test_sqlite3_api_wrapper.cpp,0,63,218,19991,74,272,26152,
122,sds.cpp,1,2,12,379,2,12,444,
134,onepass.cc,0,4,10,309,5,13,366,
135,bit_util.h,0,3,10,661,3,10,661,
139,rtree.h,1,0,0,32,2,3,452,
140,rtree.h,1,1,1,198,3,4,562,